id,name,type,author,description,knowledge_amount,bonus
0,Union is Associative,math_problem,MathKG,<onlyinclude> [[Definition:Set Union|Set union]] is [[Definition:Associative Operation|associative]]: :$A \cup \paren {B \cup C},1.0,120.0
1,Euclid's Theorem,math_problem,MathKG,"For any [[Definition:Finite Set|finite set]] of [[Definition:Prime Number|prime numbers]], there exists a [[Definition:Prime Number|prime number]] not in that [[Definition:Set|set]]. {{:Euclid:Propo",1.41,128.29
2,Schur-Zassenhaus Theorem,math_problem,MathKG,Let $G$ be a [[Definition:Finite Group|finite group]] and $N$ be a [[Definition:Normal Subgroup|normal subgroup]] in $G$. Let $N$ be a [[Definition:Hall Subgroup|Hall subgroup]] of $G$. Then there,1.4,128.0
3,One-Step Subgroup Test,math_problem,MathKG,"Let $\struct {G, \circ}$ be a [[Definition:Group|group]]. Let $H$ be a [[Definition:Subset|subset]] of $G$. Then $\struct {H, \circ}$ is a [[Definition:Subgroup|subgroup]] of $\struct {G, \circ}$ {",1.41,128.14
4,Two-Step Subgroup Test,math_problem,MathKG,"Let $\struct {G, \circ}$ be a [[Definition:Group|group]]. Let $H$ be a [[Definition:Subset|subset]] of $G$. Then $\struct {H, \circ}$ is a [[Definition:Subgroup|subgroup]] of $\struct {G, \circ}$ {",1.41,128.14
5,Fundamental Theorem of Arithmetic,math_problem,MathKG,"<onlyinclude> For every [[Definition:Integer|integer]] $n$ such that $n > 1$, $n$ can be expressed as the [[Definition:Integer Multiplication|product]] of one or more [[Definition:Prime Number|primes]",1.43,128.57
6,Power Rule for Derivatives,math_problem,MathKG,<onlyinclude> Let $n \in \R$. Let $f: \R \to \R$ be the [[Definition:Real Function|real function]] defined as $\map f x,1.0,120.0
7,Necessary Conditions for Existence of Skolem Sequence,math_problem,MathKG,"A [[Definition:Skolem Sequence|Skolem sequence]] of order $n$ can only exist if $n \equiv 0, 1 \pmod 4$.",1.0,120.0
8,Intersection is Associative,math_problem,MathKG,<onlyinclude> [[Definition:Set Intersection|Set intersection]] is [[Definition:Associative Operation|associative]]: :$A \cap \paren {B \cap C},1.01,120.29
96,Rule of Substitution,math_problem,MathKG,<onlyinclude> Let $S$ be a [[Definition:Sequent|sequent]] of [[Definition:Propositional Logic|propositional logic]] that has been [[Definition:Formal Proof|proved]]. Then we may infer any [[Definitio,1.42,128.43
97,Rule of Sequent Introduction,math_problem,MathKG,"<onlyinclude> Let the statements $P_1, P_2, \ldots, P_n$ be [[Definition:Conclusion|conclusions]] in a [[Definition:Proof|proof]], on various [[Definition:Assumption|assumptions]]. Let $P_1, P_2, \ld",1.42,128.43
98,Rule of Theorem Introduction,math_problem,MathKG,"<onlyinclude> We may infer, at any stage of a [[Definition:Formal Proof|proof]] (citing $\text {TI}$), a [[Definition:Theorem (Formal Systems)|theorem]] already proved, together with a reference to th",1.43,128.57
101,Extended Rule of Implication,math_problem,MathKG,"Any [[Definition:Sequent|sequent]] can be expressed as a [[Definition:Theorem of Logic|theorem]]. That is: :$P_1, P_2, P_3, \ldots, P_n \vdash Q$ means the same thing as: :$\vdash P_1 \implies \pa",1.4,128.0
104,Union is Commutative,math_problem,MathKG,<onlyinclude> [[Definition:Set Union|Set union]] is [[Definition:Commutative Operation|commutative]]: :$S \cup T,1.0,120.0
105,Intersection is Commutative,math_problem,MathKG,<onlyinclude> [[Definition:Set Intersection|Set intersection]] is [[Definition:Commutative Operation|commutative]]: :$S \cap T,1.0,120.0
106,Disjunction and Conditional,math_problem,MathKG,,1.0,120.0
109,Solution to Quadratic Equation,math_problem,MathKG,The [[Definition:Quadratic Equation|quadratic equation]] of the form $a x^2 + b x + c,1.0,120.0
112,Normal Subgroup Test,math_problem,MathKG,Let $G$ be a [[Definition:Group|group]] and $H \le G$. Then $H$ is a [[Definition:Normal Subgroup/Definition 1|normal subgroup (by definition 1)]] of $G$ {{iff}}: :$\forall x \in G: x H x^{-1} \sub,1.41,128.14
